127.0.0.1 - - [20/Nov/2025:16:52:08 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /BBS/ HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /BBS/styles/reset.css HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /BBS/script/script.js HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:09 +0900] "GET /favicon.ico HTTP/1.1" 404 907
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:17 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:18 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:21 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:25 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:28 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:29 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:32 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:52:35 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:18 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:22 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:25 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:27 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:53:27 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2507
