127.0.0.1 - - [19/Nov/2025:16:51:48 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /BBS/ HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /BBS/styles/reset.css HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /BBS/script/script.js HTTP/1.1" 404 924
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:49 +0900] "GET /favicon.ico HTTP/1.1" 404 907
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:52:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:52:02 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2592
